"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.9297,0.9157,0.9379,0.9085,0.869,0.8764,0.9078,0.887,0.8772,0.9171,0.8455,0.876,0.8821
"2",0.9195,0.9029,0.9253,0.8807,0.8254,0.8245,0.8767,0.8215,0.8261,0.8779,0.8059,0.8333,0.871
"3",0.9184,0.8974,0.9239,0.8692,0.8069,0.8017,0.8558,0.8183,0.8037,0.8724,0.8045,0.825,0.8614
"4",0.9228,0.9049,0.9263,0.8831,0.821,0.827,0.8785,0.8346,0.827,0.8843,0.8115,0.8345,0.8747
"5",0.9145,0.8952,0.9221,0.868,0.8123,0.8047,0.8512,0.8074,0.8059,0.8649,0.7982,0.8248,0.8581
"6",0.9219,0.9048,0.9265,0.8879,0.8271,0.8343,0.8837,0.8325,0.8473,0.8833,0.8158,0.8433,0.8757
"7",0.9183,0.9034,0.9297,0.8925,0.8381,0.8403,0.8781,0.8448,0.8498,0.8971,0.8206,0.8524,0.8741
"8",0.9233,0.9105,0.9316,0.8973,0.8485,0.8562,0.8922,0.8529,0.8581,0.9045,0.8284,0.8626,0.8835
"9",0.7822,0.8274,0.8476,0.8272,0.7947,0.7654,0.8169,0.745,0.6992,0.8224,0.8207,0.7785,0.7787
"10",0.7662,0.8209,0.8511,0.7837,0.7396,0.7143,0.7482,0.6507,0.6704,0.7502,0.7279,0.7385,0.7585
"11",0.6587,0.7777,0.7827,0.8098,0.7956,0.7732,0.8367,0.7331,0.7005,0.8061,0.7536,0.7642,0.7254
"12",0.744,0.8131,0.7947,0.8132,0.8416,0.7864,0.858,0.7665,0.6764,0.8671,0.7636,0.8335,0.7852
"13",0.8781,0.8923,0.9201,0.8624,0.7984,0.8081,0.8364,0.8029,0.8084,0.8659,0.7911,0.8144,0.852
"14",0.8788,0.9012,0.9296,0.8997,0.8648,0.8646,0.8995,0.8717,0.8598,0.9118,0.8375,0.8709,0.8563
"15",0.877,0.8876,0.9068,0.8739,0.8053,0.8005,0.8338,0.8045,0.8177,0.8816,0.8029,0.8374,0.8577
"16",0.8744,0.886,0.9085,0.8733,0.8045,0.7934,0.8376,0.7926,0.8153,0.8742,0.7971,0.8295,0.8537
"17",0.8845,0.8982,0.9237,0.8897,0.8303,0.833,0.8702,0.8236,0.8227,0.8837,0.8081,0.8386,0.8643
"18",0.8871,0.9008,0.9216,0.8894,0.8338,0.8392,0.872,0.8306,0.8258,0.8894,0.8134,0.8459,0.8689
"19",0.8891,0.9051,0.9337,0.9052,0.8672,0.8744,0.9036,0.8754,0.8662,0.9137,0.8397,0.8726,0.8665
"20",0.867,0.8981,0.921,0.9012,0.8571,0.8587,0.8983,0.8644,0.8621,0.9098,0.8336,0.8669,0.8476
"21",0.87,0.8885,0.9132,0.8722,0.7916,0.7842,0.8045,0.7706,0.7496,0.7945,0.778,0.7811,0.8354
"22",0.8145,0.8377,0.8616,0.8205,0.7542,0.7256,0.7651,0.6683,0.6767,0.751,0.7433,0.7512,0.7859
"23",0.8409,0.8694,0.8912,0.8623,0.7815,0.7621,0.8104,0.7595,0.7435,0.7913,0.7686,0.7777,0.8175
"24",0.8365,0.8672,0.8978,0.8589,0.7881,0.7769,0.8022,0.7552,0.7422,0.7845,0.7739,0.7776,0.8181
"25",0.8794,0.8955,0.9311,0.9025,0.8612,0.8655,0.8973,0.8686,0.8472,0.8987,0.8393,0.864,0.8579
"26",0.8949,0.9033,0.9335,0.9039,0.864,0.8682,0.8983,0.8734,0.8491,0.901,0.8405,0.8662,0.8691
"27",0.9021,0.9098,0.9375,0.9063,0.8695,0.8764,0.9072,0.8845,0.8739,0.9148,0.8433,0.8734,0.8722
"28",0.8922,0.9058,0.9355,0.9065,0.8723,0.8826,0.9127,0.8913,0.885,0.9191,0.8457,0.8728,0.8715
"29",0.8642,0.8913,0.9241,0.9024,0.8599,0.8641,0.8968,0.8631,0.8444,0.8985,0.8361,0.8633,0.8531
"30",0.9055,0.9115,0.9377,0.9069,0.874,0.8843,0.9138,0.8953,0.8854,0.9215,0.8459,0.8751,0.8775
"31",0.9057,0.9056,0.9329,0.9042,0.8626,0.8667,0.8975,0.8665,0.8454,0.9004,0.8374,0.8659,0.867
"32",0.8866,0.8974,0.9297,0.9035,0.8596,0.864,0.8965,0.8632,0.8437,0.8982,0.8353,0.8641,0.8573
